id,name,status,company_type,address,email,postcode,website,activities,source
1088415,WAKEFIELD GRAMMAR SCHOOL FOUNDATION,Active,Charity,"WAKEFIELD GRAMMAR SCHOOL FOUNDATION, GOVERNORS OFFICE, 158 NORTHGATE, WAKEFIELD",office@wgsf.co.uk,WF1 3UF,http://www.wgsf.org.uk,The object for which the Foundation is established is to advance education by the provision of a school or schools in or near Wakefield or elsewhere in Britain and by ancillary or incidental educational activities and other associated activities for the benefit of the community.,CharityBase
1026493,AMPLEFORTH ABBEY,Active,Charity,"AMPLEFORTH ABBEY, YORK",lfk@ampleforth.org.uk,YO62 4EN,http://www.ampleforth.org.uk,"The main object of the charity is for the furtherance of the Roman Catholic religion. The object is fulfilled by the formation and subsequent ministry of Benedictine monks of Ampleforth Abbey. The works of the monks include the maintenance of the monastic community and its property, education, the welcoming of guests and parish work in dioceses of the Roman Catholic Church.",CharityBase
1140852,THE WILF WARD FAMILY TRUST,Active,Charity,"WESTGATE HOUSE, 5 WESTGATE, PICKERING, NORTH YORKSHIRE",info@wilfward.org.uk,YO18 8BA,http://www.wilfward.org.uk,"The Trust delivers supported living, short breaks, residential care, direct payments support agencies and community domiciliary care services across Yorkshire for children, adults and older people. The Trust also provides vocational training and work placements through its cafe. The ethos of the organisation is to promote independence, choice and control for all people using its services.",CharityBase
516898,YORKSHIRE CANCER RESEARCH,Active,Charity,"Yorkshire Cancer Research, Jacob Smith House, 7 Grove Park Court, Harrogate",hq@ycr.org.uk,HG1 4DP,http://www.ycr.org.uk,"The charity's objects are the advancement of health or the saving of lives by undertaking research and other relevant activities in the Yorkshire region or elsewhere to help people avoid, survive or cope with cancer.",CharityBase
1165209,GOOD THINGS FOUNDATION,Active,Charity,"Kollider, Floor 3, Castle House, Castle Street, SHEFFIELD",hello@goodthingsfoundation.org,S3 8LS,http://www.goodthingsfoundation.org/,"We support digitally and socially excluded people to improve their lives through digital. Digital technology and community action is at the heart of everything we do. We bring together community partners to make up the online centres network, reaching deep into communities to help people across the UK gain the support and skills they need to change their lives and overcome social challenges.",CharityBase
511726,OPERA NORTH LIMITED,Active,Charity,"Howard Opera Centre, 8 Harrison Street, LEEDS, LEEDS",kirsty.bullen@operanorth.co.uk,LS1 6PA,http://operanorth.co.uk,"The principal activities of the charity are to encourage the understanding and appreciation of the lyric art by providing, presenting, organising and conducting opera performances, symphony concerts and educational events primarily in the North of England.",CharityBase
1141329,"ST.PETER'S SCHOOL, YORK",Active,Charity,"ST. PETERS SCHOOL, CLIFTON, YORK",bursar@stpetersyork.org.uk,YO30 6AB,http://www.stpetersyork.org.uk,"St Peter's School is a day, boarding and preparatory school for boys and girls",CharityBase
1161516,LEMPRIERE PRINGLE 2015,Active,Charity,"Ord House, Little Fencote, NORTHALLERTON, North Yorkshire",ordhouse1@btinternet.com,DL7 0RR,,"The Charity is principally concerned with supporting community needs via Christian ministries in England at the suggestion of the Trustees, rather than inviting unsolicited applications.  A main focus is supporting the regeneration of Bishop Auckland and surrounding area via its sister charities The Auckland Castle Trust, Zurbaran Trust and Eleven Arches.",CharityBase
1097217,CHRISTIANS AGAINST POVERTY,Active,Charity,"CHRISTIANS AGAINST POVERTY, JUBILEE MILL, 30 NORTH STREET, BRADFORD",info@capuk.org,BD1 4EW,http://www.capuk.org,"Christians Against Poverty offers a free debt counselling service to individuals and families releasing them from the pressure of debt through a combination of advice, financial education, budgeting and insolvency services. Operating through a network of local centres which are run in partnership with local churches, we aim to help anyone regardless of their religious beliefs.",CharityBase
1043129,HOLLYBANK TRUST,Active,Charity,"HOLLYBANK TRUST, FAR COMMON ROAD, MIRFIELD",admin@hollybanktrust.com,WF14 0DQ,http://www.hollybanktrust.com,"The provision of education, therapy, medical support and residential care for children and adults with profound and complex physical disabilities in a specialist school ,children's home and adult homes.",CharityBase
1063808,ST LAURENCE EDUCATION TRUST,Active,Charity,"AMPLEFORTH COLLEGE, YORK",jel@ampleforth.org.uk,YO62 4ER,http://www.college.ampleforth.org.uk,"The main charitable activities were the provision of education to boys and girls from the ages of 3 to 18 through two independent schools, Ampleforth College and St Martin's Ampleforth.",CharityBase
1110114,DAWAT-E-ISLAMI UK,Active,Charity,"DAWAT E ISLAMI UK HEAD OFFICE, Faizan E Madina, Maudsley Street, BRADFORD",info@dawateislamiuk.net,BD3 9LE,http://www.dawateislami.co.uk,To advance the Islamic faith and to help the poor and needy.,CharityBase
1103465,DONCASTER CULTURE AND LEISURE TRUST,Active,Charity,"The Dome, Doncaster Leisure Park, Bawtry Road, Doncaster",enquiries@dclt.co.uk,DN4 7PD,http://www.dclt.co.uk,The charity exists to manage the leisure and entertainment experience to improve the lives and wellbeing of our clients and their communities. Principally we target ourselves with promoting the benefit of the inhabitants of Doncaster and its environs by the provision of facilities for the recreation and leisure time occupation in the interests of social welfare.,CharityBase
1101607,ADVANCE HE,Active,Charity,"THE HIGHER EDUCATION ACADEMY, INNOVATION WAY, YORK SCIENCE PARK, YORK",corporate.support@advance-he.ac.uk,YO10 5BR,http://www.advance-he.ac.uk/,"Advance HE's purpose is to advance the professional practice of higher education to improve outcomes for the benefit of students, staff and society. Advance HE has been created to be ?of and for the sector? and is jointly owned by GuildHE and Universities UK.",CharityBase
290866,LHASA LIMITED,Active,Charity,"2 Canal Wharf, Holbeck, LEEDS",michelle.gosling@lhasalimited.org,LS11 5PS,http://www.lhasalimited.org,The charity promotes public education through the development and use of computer-aided reasoning and information systems in chemistry and the chemistry-related sciences.,CharityBase
264166,L'ARCHE,Active,Charity,"10 BRIGGATE, SILSDEN, KEIGHLEY, WEST YORKSHIRE",info@larche.org.uk,BD20 9JT,http://www.larche.org.uk,Building Communities with people who have learning disabilities,CharityBase
10750655,BRIGHTSIDE MUSIC CIC,active,private-limited-guarant-nsc,N/A,,S6 2WN,https://find-and-update.company-information.service.gov.uk/company/10750655,,Companies House
14814904,FIGHT WITHIN CIC,active,private-limited-guarant-nsc,N/A,,S8 0HE,https://find-and-update.company-information.service.gov.uk/company/14814904,,Companies House
12468638,MISSION:ACTIVE C.I.C.,active,private-limited-guarant-nsc,N/A,,S12 2TL,https://find-and-update.company-information.service.gov.uk/company/12468638,,Companies House
15755911,HUMAN FIRST ATHLETE TRANSITIONS C.I.C.,active,private-limited-guarant-nsc,N/A,,S8 9HD,https://find-and-update.company-information.service.gov.uk/company/15755911,,Companies House
09561370,THINKING SPACE FOR PHILOSOPHICAL DIALOGUE AND ENQUIRY C.I.C.,active,private-limited-guarant-nsc,N/A,,S6 4LQ,https://find-and-update.company-information.service.gov.uk/company/09561370,,Companies House
15754307,BSFA CIC,active,private-limited-guarant-nsc,N/A,,S10 3AZ,https://find-and-update.company-information.service.gov.uk/company/15754307,,Companies House
09599316,FORGE LANE SPORTS GROUND CIC,active,ltd,N/A,,S35 0GG,https://find-and-update.company-information.service.gov.uk/company/09599316,,Companies House
13643976,UNION MTB CIC,active,ltd,N/A,,S8 0NX,https://find-and-update.company-information.service.gov.uk/company/13643976,,Companies House
13382353,"ACADEMY OF SUSTAINABLE FINANCE, ACCOUNTING, ACCOUNTABILITY & GOVERNANCE (ASFAAG) CIC",active,private-limited-guarant-nsc,N/A,,S5 7AZ,https://find-and-update.company-information.service.gov.uk/company/13382353,,Companies House
14129002,PASH COMMUNITY CIC,active,private-limited-guarant-nsc,N/A,,S14 1LF,https://find-and-update.company-information.service.gov.uk/company/14129002,,Companies House
08552800,EAGLE HOUSE PERSONAL DEVELOPMENT CIC,active,ltd,N/A,,HU14 3DX,https://find-and-update.company-information.service.gov.uk/company/08552800,,Companies House
13959238,THE INIPI PROJECT COMMUNITY INTEREST COMPANY,active,private-limited-guarant-nsc,N/A,,YO16 4PN,https://find-and-update.company-information.service.gov.uk/company/13959238,,Companies House
12030819,RECYCLING SUPER HEROES CIC,active,private-limited-guarant-nsc,N/A,,HU16 4LU,https://find-and-update.company-information.service.gov.uk/company/12030819,,Companies House
16237500,NEIGHBOURHOODS OF CULTURE CIC,active,private-limited-guarant-nsc,N/A,,HU6 7LZ,https://find-and-update.company-information.service.gov.uk/company/16237500,,Companies House
09062505,ENGINE ROOM THEATRE C.I.C.,active,private-limited-guarant-nsc,N/A,,DN14 6AE,https://find-and-update.company-information.service.gov.uk/company/09062505,,Companies House
12891110,PATHWAYS TRAINING AND MENTORING CIC,active,private-limited-guarant-nsc,N/A,,HU16 4DA,https://find-and-update.company-information.service.gov.uk/company/12891110,,Companies House
08958555,BRIDLINGTON QUAY COMMUNITY INTEREST COMPANY,active,ltd,N/A,,YO15 2AP,https://find-and-update.company-information.service.gov.uk/company/08958555,,Companies House
13293995,NORTH HULL SPORTS NETWORK CIC,active,private-limited-guarant-nsc,N/A,,HU17 8UP,https://find-and-update.company-information.service.gov.uk/company/13293995,,Companies House
