company_name,company_number,company_status,company_type,company_subtype,kind,links,date_of_creation,registered_office_address,sic_codes
WE CAN DRIVE CIC,15619097,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15619097'},2024-04-05,"{'address_line_1': 'The Circle', 'address_line_2': '33 Rockingham Lane', 'locality': 'Sheffield', 'postal_code': 'S1 4FW', 'country': 'England'}","['85530', '85600']"
WRBCC CIC,15734220,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15734220'},2024-05-22,"{'address_line_1': 'Imperial House 14-16 Wolseley Road', 'locality': 'Sheffield', 'postal_code': 'S8 0ZU', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['96040']
BLOOMSBURY INNOVATION GROUP COMMUNITY INTEREST COMPANY,09976194,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09976194'},2016-01-28,"{'address_line_1': 'Kingswood Cottage Ketches Lane', 'address_line_2': 'Sheffield Park', 'locality': 'Uckfield', 'postal_code': 'TN22 3RX', 'country': 'England'}",['99999']
BETTER TODAY CIC,14181713,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14181713'},2022-06-20,"{'address_line_1': '8 Fathers Gardens', 'address_line_2': 'Kiveton Park', 'locality': 'Sheffield', 'postal_code': 'S26 6QS', 'country': 'England'}",['59112']
THE CO-WORKING CO-OPERATIVE CIC,09073392,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09073392'},2014-06-05,"{'address_line_1': '18-20 Union Street', 'locality': 'Sheffield', 'postal_code': 'S1 2JP'}",['82990']
HOPE ASSET MANAGEMENT CIC,15653988,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15653988'},2024-04-17,"{'address_line_1': 'Charlotte House', 'address_line_2': '500 Charlotte Road', 'locality': 'Sheffield', 'postal_code': 'S2 4ER', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['68320']
MIKE LAWRENCE CIC,15605922,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15605922'},2024-03-30,"{'address_line_1': 'Redlands Business Centre 3-5', 'address_line_2': 'Tapton House Road', 'locality': 'Sheffield', 'postal_code': 'S10 5BY', 'country': 'England'}",['85590']
AVENUES TO ZERO CIC,09749971,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09749971'},2015-08-26,"{'address_line_1': 'C/O Hebblethwaites 2 Westbrook Court', 'address_line_2': 'Sharrow Vale Road', 'locality': 'Sheffield', 'postal_code': 'S11 8YZ', 'region': 'South Yorkshire'}",['96090']
NEW WAVE SKATE UK CIC,14326357,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14326357'},2022-08-31,"{'address_line_1': '208a Abbeyfield Road', 'locality': 'Sheffield', 'postal_code': 'S4 7AZ', 'country': 'England'}",['85510']
OSMIS MENTORING & INCLUSION SERVICES CIC,11360361,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11360361'},2018-05-14,"{'address_line_1': 'Unit 5,   G1. Spaces Business Centre', 'address_line_2': 'Leeds Road', 'locality': 'Sheffield', 'postal_code': 'S9 3TY', 'country': 'England'}","['88910', '88990']"
LANDSHIPS COMMUNITY INTEREST COMPANY,10805776,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10805776'},2017-06-06,"{'address_line_1': '70 Sandy Acres Close', 'address_line_2': 'Waterthorpe', 'locality': 'Sheffield', 'postal_code': 'S20 7LT', 'country': 'England'}","['77120', '85590', '91020']"
FLOWER125HEALTH CIC,12064440,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12064440'},2019-06-21,"{'address_line_1': '29 Barkers Road', 'locality': 'Sheffield', 'postal_code': 'S7 1SD', 'country': 'United Kingdom'}",['86900']
KYOHAIRWE RURAL LAND CLEAN-UP PROJECT CIC,14344091,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14344091'},2022-09-08,"{'address_line_1': '30 Vernon Terrace', 'locality': 'Sheffield', 'postal_code': 'S10 5GJ', 'country': 'England'}",['38110']
THE COUNSELLING AND THERAPY HUB CIC,12729248,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12729248'},2020-07-08,"{'address_line_1': 'The Circle', 'address_line_2': '33 Rockingham Lane', 'locality': 'Sheffield', 'postal_code': 'S1 4FW', 'country': 'England'}",['86900']
TOTLEY INDEPENDENT COMMUNITY INTEREST COMPANY,07750166,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/07750166'},2011-08-23,"{'address_line_1': '24 Totley Hall Croft', 'address_line_2': 'Totley', 'locality': 'Sheffield', 'postal_code': 'S17 4BE'}",['58130']
EXCEL KICKBOXING ACADEMY CIC,15840560,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15840560'},2024-07-16,"{'address_line_1': 'Excel Academy Longacre Way', 'address_line_2': 'Holbrook', 'locality': 'Sheffield', 'postal_code': 'S20 3FS', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['93290']
BURNGREAVE BRIGHT FUTURES CIC,15854801,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15854801'},2024-07-23,"{'address_line_1': '2 Burngreave Road', 'locality': 'Sheffield', 'postal_code': 'S3 9DD', 'country': 'England'}",['88990']
LOTUS COLLABORATIONS UK CIC,15003588,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15003588'},2023-07-14,"{'address_line_1': 'The Circle', 'address_line_2': '33 Rockingham Lane', 'locality': 'Sheffield', 'postal_code': 'S1 4FW', 'country': 'England'}",['96090']
HILARYS HOUSE C.I.C.,14421827,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14421827'},2022-10-17,"{'address_line_1': '62 Market Street, Office B5', 'address_line_2': 'Eckington', 'locality': 'Sheffield', 'postal_code': 'S21 4JH', 'country': 'England'}",['88100']
SCRAP DRAGON CIC,09708855,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09708855'},2015-07-29,"{'address_line_1': '204 Verdon Street', 'locality': 'Sheffield', 'postal_code': 'S3 9QS', 'country': 'England'}",['46770']
CHRISTIAN FILM AND MEDIA EVENTS C.I.C.,12925080,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12925080'},2020-10-03,"{'address_line_1': '149 Dykes Hall Road', 'locality': 'Sheffield', 'postal_code': 'S6 4GR', 'country': 'England'}","['82301', '90020']"
DIALOGIC ACTION CIC,12883740,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12883740'},2020-09-16,"{'address_line_1': 'The Circle', 'address_line_2': '33 Rockingham Lane', 'locality': 'Sheffield', 'postal_code': 'S1 4FW', 'country': 'England'}","['70229', '72200', '85600', '86900']"
STEELED C.I.C.,14516090,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14516090'},2022-11-30,"{'address_line_1': '14 Ullswater Close', 'address_line_2': 'North Anston', 'locality': 'Sheffield', 'postal_code': 'S25 4GH', 'country': 'England'}",['88990']
AMBITION UNLIMITED CIC,11950008,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11950008'},2019-04-16,"{'address_line_1': 'A H Accountancy Services', 'address_line_2': '61 Blagden Street', 'locality': 'Sheffield', 'postal_code': 'S2 5QS', 'country': 'England'}",['85590']
LIGHTHOUSE PLAY & CRAFT CAFE CIC,14337499,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14337499'},2022-09-05,"{'address_line_1': 'Unit 8, 33 Barnsley Road', 'address_line_2': 'Penistone', 'locality': 'Sheffield', 'postal_code': 'S36 8AE', 'country': 'England'}","['56102', '93290']"
DIVE KINSHIP COMMUNITY NETWORK C.I.C.,15965215,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15965215'},2024-09-18,"{'address_line_1': '21 Gilmour Avenue', 'locality': 'Sheffield', 'postal_code': 'S2 2DE', 'country': 'England'}","['84120', '87200', '87300', '88100']"
FUSE ALTERNATIVE PROVISION CIC,15974384,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15974384'},2024-09-24,"{'address_line_1': '1 Ashleigh Drive', 'locality': 'Sheffield', 'postal_code': 'S12 2SA', 'country': 'England'}",['85600']
INSPIRE ACCOUNTANCY TRAINING CIC,15974489,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15974489'},2024-09-24,"{'address_line_1': 'Knowle House', 'address_line_2': '4 Norfolk Park Road', 'locality': 'Sheffield', 'postal_code': 'S2 3QE', 'country': 'England'}",['85590']
LETS TALK WITH U CIC,14474006,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14474006'},2022-11-09,"{'address_line_1': '10 Middlewood Chase', 'locality': 'Sheffield', 'postal_code': 'S6 1TW', 'country': 'England'}",['86900']
KALEIDO ARTS FOR WELLBEING CIC,13537609,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13537609'},2021-07-29,"{'address_line_1': '54 54 Campo Lane', 'locality': 'Sheffield', 'postal_code': 'S1 2EG', 'country': 'United Kingdom'}","['85590', '86900', '90030']"
KINGSBURY SCHOOL SPORTS PARTNERSHIP CIC,09156480,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09156480'},2014-07-31,"{'address_line_1': '98 Sheffield Road', 'locality': 'Sutton Coldfield', 'postal_code': 'B73 5HW', 'country': 'England'}","['85200', '85510', '93199']"
UNITED WE CLIMB CIC,13279941,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13279941'},2021-03-19,"{'address_line_1': '17 Dobcroft Avenue', 'locality': 'Sheffield', 'postal_code': 'S7 2LW', 'country': 'England'}","['85510', '93199', '94120']"
WOVEN NETWORK C.I.C.,09796593,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09796593'},2015-09-27,"{'address_line_1': '6 Greaves Lane', 'address_line_2': 'Stannington', 'locality': 'Sheffield', 'postal_code': 'S6 6BA', 'country': 'England'}",['94990']
SLAMBARZ CIC,14644864,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14644864'},2023-02-07,"{'address_line_1': '124 Alexandra Road', 'locality': 'Sheffield', 'postal_code': 'S2 3EG', 'country': 'England'}","['85590', '90010', '90030']"
ARROWS BASKETBALL CLUB CIC,15193261,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15193261'},2023-10-06,"{'address_line_1': '19 Orchard Road', 'locality': 'Sheffield', 'postal_code': 'S6 3TS', 'country': 'England'}","['85510', '93120', '93199']"
ASHAY DANCE CIC,14583193,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14583193'},2023-01-10,"{'address_line_1': '15 Poynton Wood Glade', 'locality': 'Sheffield', 'postal_code': 'S17 4NH', 'country': 'England'}","['90010', '90020']"
EARLY LIFE ENTERPRISE CIC,15198685,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15198685'},2023-10-09,"{'address_line_1': '2b Vaughton Hill', 'address_line_2': 'Deepcar', 'locality': 'Sheffield', 'postal_code': 'S36 2SW', 'country': 'England'}",['85600']
HAFEZ LANGUAGE SCHOOL C.I.C.,16032458,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16032458'},2024-10-21,"{'address_line_1': '38 Slayleigh Avenue', 'locality': 'Sheffield', 'postal_code': 'S10 3RB', 'country': 'England'}",['85520']
STRIDEOUT RUNNERS C.I.C.,16087178,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16087178'},2024-11-18,"{'address_line_1': '18 Butler Road', 'locality': 'Sheffield', 'postal_code': 'S6 5HS', 'country': 'England'}","['85510', '93120']"
SHARKS BASKETBALL TRUST C.I.C.,08304459,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08304459'},2012-11-22,"{'address_line_1': 'Park Community Arena Ltd', 'address_line_2': 'Worksop Road', 'locality': 'Sheffield', 'postal_code': 'S9 3TL', 'country': 'England'}",['93199']
CARE 4 RENTERS CIC,14545604,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14545604'},2022-12-16,"{'address_line_1': '40 Colister Gardens', 'locality': 'Sheffield', 'postal_code': 'S9 4HH', 'country': 'England'}",['68320']
THE FRIENDS OF PARK HILL CIC,15444746,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15444746'},2024-01-26,"{'address_line_1': 'Electric Works', 'address_line_2': '3 Concourse Way', 'locality': 'Sheffield', 'postal_code': 'S1 2BJ', 'region': 'South Yorkshire', 'country': 'United Kingdom'}","['58190', '91012', '94990']"
SOCIAL PICKLE CIC,15399091,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15399091'},2024-01-09,"{'address_line_1': '25 Cockayne Place', 'locality': 'Sheffield', 'postal_code': 'S8 9DF', 'country': 'England'}","['10390', '56290']"
LUMIERE FUTURES COMMUNITY INTEREST COMPANY,16231986,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16231986'},2025-02-05,"{'address_line_1': '54 St. Barnabas Road', 'locality': 'Sheffield', 'postal_code': 'S2 4TF', 'country': 'England'}",['85590']
KELHAM FILM CLUB CIC,15532388,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15532388'},2024-02-29,"{'address_line_1': 'Unit 112 J C Albyn Complex', 'address_line_2': 'Percy Street', 'locality': 'Sheffield', 'postal_code': 'S3 8BT', 'country': 'United Kingdom'}",['59111']
VIRTUS INTERNATIONAL BASKETBALL FEDERATION CIC,16232040,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16232040'},2025-02-05,"{'address_line_1': 'Mailbox 13 Alison Business Centre', 'address_line_2': '39 Alison Crescent', 'locality': 'Sheffield', 'postal_code': 'S2 1AS', 'country': 'United Kingdom'}",['93199']
PROJECT 226 CIC,13762972,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13762972'},2021-11-24,"{'address_line_1': '71 Holme Lane', 'locality': 'Sheffield', 'postal_code': 'S6 4JP', 'country': 'England'}",['90030']
FOOTBALL FOR FOODBANKS CIC,13276090,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13276090'},2021-03-18,"{'address_line_1': '42 Loxley View Road', 'locality': 'Sheffield', 'postal_code': 'S10 1QZ', 'country': 'England'}","['85510', '86900', '88990', '93199']"
SIDEWALK SPECIALS CIC,09957429,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/09957429'},2016-01-18,"{'address_line_1': '24 Heyhouse Way', 'address_line_2': 'Chapeltown', 'locality': 'Sheffield', 'postal_code': 'S35 3AP', 'region': 'South Yorkshire'}",['94990']
PRINCIPLES OF SUCCESS C.I.C.,13649122,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13649122'},2021-09-28,"{'address_line_1': 'C/O Unit C2a', 'address_line_2': 'Sheaf Bank Business Park Limited', 'locality': 'Sheffield', 'postal_code': 'S2 3EN', 'country': 'United Kingdom'}","['70229', '72200', '85520', '85590']"
A FLEET FOR CHANGE CIC,14780561,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14780561'},2023-04-04,"{'address_line_1': '21 Dovedale Road', 'locality': 'Sheffield', 'postal_code': 'S7 2DB', 'country': 'England'}",['49319']
GREENER PRACTICE C.I.C.,13780521,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13780521'},2021-12-03,"{'address_line_1': '12 Bingham Park Road', 'locality': 'Sheffield', 'postal_code': 'S11 7BD', 'country': 'England'}","['85590', '86900']"
BEIJING DANCE ACADEMY ALUMNI ORGANISATION OF THE UK C.I.C.,16126117,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16126117'},2024-12-09,"{'address_line_1': '85 Southey Avenue', 'locality': 'Sheffield', 'postal_code': 'S5 7NP', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['90010']
STEELERS IN THE COMMUNITY C.I.C.,08232116,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08232116'},2012-09-27,"{'address_line_1': 'Unit 2b Birley Moor Road', 'locality': 'Sheffield', 'postal_code': 'S12 2AU', 'region': 'South Yorkshire'}",['85510']
ALL GOOD STUFF COMMUNITY INTEREST COMPANY,08763022,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08763022'},2013-11-05,"{'address_line_1': '27a, Pot House Lane, Sheffield. South Yorkshire. 27a, Pot House Lane', 'address_line_2': 'Stocksbridge', 'locality': 'Sheffield', 'postal_code': 'S36 1ES'}","['47781', '85520', '90030']"
DIG WHERE YOU STAND C.I.C.,16147697,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16147697'},2024-12-20,"{'address_line_1': '53 Charnley Avenue', 'locality': 'Sheffield', 'postal_code': 'S11 9FR', 'country': 'England'}","['85520', '90030', '91012']"
BUILDING BONDS PROJECT CIC,11276138,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11276138'},2018-03-26,"{'address_line_1': '26 Westwood Road', 'locality': 'Sheffield', 'postal_code': 'S11 7EY', 'region': 'South Yorkshire'}",['86900']
FRESH MEET CIC,16186319,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/16186319'},2025-01-15,"{'address_line_1': '30 Union Street', 'address_line_2': 'Harthill', 'locality': 'Sheffield', 'postal_code': 'S26 7YH', 'country': 'England'}",['85320']
THE ANGEL SPINKHILL COMMUNITY INTEREST COMPANY,08839099,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/08839099'},2014-01-09,"{'address_line_1': ""St Cecilia's 7 Spinkhill Lane"", 'address_line_2': 'Spinkhill', 'locality': 'Sheffield', 'postal_code': 'S21 3YG'}",['94990']
SAFER ONLINE GAMBLING GROUP CIC,11819714,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11819714'},2019-02-11,"{'address_line_1': 'Studio 21 Sum Studios', 'address_line_2': 'Hartley Street', 'locality': 'Sheffield', 'postal_code': 'S2 3AQ', 'country': 'England'}","['70210', '70229']"
PEOPLES TENNIS CIC,15402164,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15402164'},2024-01-10,"{'address_line_1': 'Brentwood Tennis Club', 'address_line_2': 'Brentwood Road', 'locality': 'Sheffield', 'postal_code': 'S11 9BU', 'country': 'United Kingdom'}","['85510', '93120', '96040']"
SHEFFIELD MELA CIC,15351852,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15351852'},2023-12-14,"{'address_line_1': 'Rear Of 659 Staniforth Road', 'locality': 'Sheffield', 'postal_code': 'S9 4RD', 'country': 'England'}","['85520', '90020', '90030']"
TALO BURNGREAVE CIC,15400476,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15400476'},2024-01-09,"{'address_line_1': 'Spartan Works', 'address_line_2': '20 Carlisle Street', 'locality': 'Sheffield', 'postal_code': 'S4 7LJ', 'country': 'England'}",['85600']
STILL LEARNING EDUCATION CIC,10059651,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/10059651'},2016-03-12,"{'address_line_1': 'Sheffield Buddhist Centre', 'address_line_2': 'Howard Rd', 'locality': 'Sheffield', 'postal_code': 'S6 3RT', 'region': 'South Yorkshire'}",['85600']
BRIGHTER FUTURES HOUSING CIC,13240128,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13240128'},2021-03-02,"{'address_line_1': 'Merchant Chambers', 'address_line_2': 'London Road', 'locality': 'Sheffield', 'postal_code': 'S2 4HJ', 'country': 'England'}",['55900']
AFRICAN WOMEN'S HEALTH GROUP CHILDCARE CIC,14287997,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/14287997'},2022-08-10,"{'address_line_1': 'Subud Centre', 'address_line_2': '69 Swarcliffe Road', 'locality': 'Sheffield', 'postal_code': 'S9 3FA', 'country': 'United Kingdom'}",['88910']
OUT OF THE ARCHIVE CIC,12142707,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12142707'},2019-08-07,"{'address_line_1': '6 Fulney Road', 'locality': 'Sheffield', 'postal_code': 'S11 7EW', 'region': 'South Yorkshire', 'country': 'England'}",['91012']
HOLISTIK HUB HEALTH AND WELLBEING CIC,15591803,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15591803'},2024-03-25,"{'address_line_1': 'Barnstone Worksop Road', 'address_line_2': 'Aston', 'locality': 'Sheffield', 'postal_code': 'S26 2EB', 'region': 'South Yorkshire', 'country': 'United Kingdom'}","['86900', '96040']"
STEAL CITY UK CIC,15618198,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15618198'},2024-04-05,"{'address_line_1': '103 Glenwood Crescent', 'address_line_2': 'Chapeltown', 'locality': 'Sheffield', 'postal_code': 'S35 1YU', 'country': 'England'}","['85520', '90010', '90020', '93199']"
THE NATURE BOX FOUNDATION CIC,15634158,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15634158'},2024-04-10,"{'address_line_1': '3 Mill Cottage Apartments 2 Old Mill Lane', 'address_line_2': 'Wharncliffe Side', 'locality': 'Sheffield', 'postal_code': 'S35 0LB', 'country': 'England'}","['85590', '85600', '88910']"
CLOUGHFIELDS EDUCATION AND TRAINING CIC,15689719,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15689719'},2024-04-29,"{'address_line_1': 'Cloughfields', 'address_line_2': 'Clough Fields Lane', 'locality': 'Sheffield', 'postal_code': 'S10 5PY', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['85510']
SCRIBBLE AND BLOOM COMMUNITY INTEREST COMPANY,15691091,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/15691091'},2024-04-29,"{'address_line_1': 'Aizlewoods Mill', 'address_line_2': 'Nursery Street', 'locality': 'Sheffield', 'postal_code': 'S3 8GG', 'country': 'England'}",['58190']
THE UNITY PROJECT (SOUTH YORKSHIRE) CIC,11434219,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11434219'},2018-06-26,"{'address_line_1': '6-8 Manvers Road', 'address_line_2': 'Swallownest', 'locality': 'Sheffield', 'postal_code': 'S26 4UD', 'region': 'South Yorkshire'}",['85600']
SHEFFIELD SOCIAL ENTERPRISE NETWORK COMMUNITY INTEREST COMPANY,11426514,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/11426514'},2018-06-21,"{'address_line_1': '57 Burton Street', 'locality': 'Sheffield', 'postal_code': 'S6 2HH', 'country': 'England'}","['82990', '94110']"
ALERT-HUB.ORG CIC,13172014,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13172014'},2021-02-01,"{'address_line_1': 'Suite 5 Paradise House', 'address_line_2': '35 Paradise Street', 'locality': 'Sheffield', 'postal_code': 'S3 8PZ', 'country': 'England'}",['63110']
R4YMF CIC,13497965,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13497965'},2021-07-07,"{'address_line_1': 'Unit 13e 92 Burton Road', 'address_line_2': 'Neepsend', 'locality': 'Sheffield', 'postal_code': 'S3 8BX', 'region': 'South Yorkshire', 'country': 'United Kingdom'}",['82990']
RAAH CIC,12759543,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/12759543'},2020-07-21,"{'address_line_1': 'Yorkshire House', 'address_line_2': '66 Leopold Street', 'locality': 'Sheffield', 'postal_code': 'S1 2GZ', 'country': 'England'}","['73110', '85520']"
MENS CIRCLE CIC,13679949,active,private-limited-guarant-nsc,community-interest-company,search-results#company,{'company_profile': '/company/13679949'},2021-10-14,"{'address_line_1': '323 Psalter Lane', 'locality': 'Sheffield', 'postal_code': 'S11 8WA', 'country': 'England'}",['86900']
